Timestamp,Device ID,Channel,Sensor Name,Sensor ID,Data Type,Unit,Value
2020-10-14T09:41:26.731Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:26.830Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:31.733Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:31.829Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:36.741Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:36.837Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:41.886Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:41.980Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:46.757Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:46.855Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:51.807Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:51.858Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:41:56.778Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:41:56.872Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:01.886Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:01.962Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:06.791Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
2020-10-14T09:42:06.887Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,1,Channel 1,0b2ee170-0e01-11eb-8779-7d56e82df461,,,51
2020-10-14T09:42:11.799Z,3b8cebf0-0df2-11eb-a2e4-b32ea624e442,0,Channel 0,0a270e60-0e01-11eb-8779-7d56e82df461,temp,c,22.399999618530273
